iter	RMSE
0	593386.8996
1	581145.7742
2	570531.3567
3	560303.0886
4	551431.4507
5	544098.0424
6	537949.6302
7	532073.7262
8	527548.2386
9	522869.5001
10	518529.8084
11	515098.5151
12	511384.0074
13	508352.9999
14	505654.4719
15	503239.92
16	500612.3447
17	498200.9696
18	496336.8887
19	494260.1389
20	492345.0584
21	490273.597
22	488838.409
23	487562.6741
24	486305.3132
25	485217.4005
26	483880.061
27	482894.1481
28	481940.4955
29	480670.4381
30	479685.5572
31	478894.3389
32	478234.1482
33	477146.8927
34	476348.858
35	475694.9173
36	474557.7318
37	473744.4397
38	473216.8457
39	472712.7297
40	472218.3319
41	471828.1913
42	471431.5374
43	470834.7335
44	470485.2383
45	470063.7525
46	469692.1946
47	469292.5913
48	468873.6881
49	468416.5907
50	468067.7501
51	467822.6752
52	467449.6961
53	466870.8344
54	466603.5983
55	466222.3845
56	465816.3869
57	465346.0652
58	465071.5699
59	464874.196
60	464541.9826
61	464242.5271
62	463946.1947
63	463636.1206
64	463441.4787
65	463128.3742
66	462905.685
67	462673.676
68	462434.0684
69	462248.2222
70	462051.1353
71	461887.9877
72	461722.406
73	461470.5046
74	461155.7521
75	460934.3008
76	460790.0809
77	460615.2014
78	460435.8767
79	460287.6802
80	460171.2481
81	459902.9843
82	459805.0027
83	459684.9907
84	459532.3277
85	459457.3895
86	459155.3294
87	459035.7958
88	458906.8041
89	458648.2702
90	458529.2006
91	458380.3533
92	458323.4731
93	458305.0576
94	458171.829
95	458022.7981
96	457914.1457
97	457785.7428
98	457734.464
99	457550.7254
100	457439.0036
101	457265.1275
102	457095.8121
103	457028.903
104	456919.4034
105	456804.867
106	456763.3906
107	456619.9413
108	456540.4973
109	456456.8792
110	456419.7521
111	456349.7404
112	456156.6078
113	456105.6245
114	455978.8668
115	455870.0481
116	455760.7598
117	455671.631
118	455531.0657
119	455486.0272
120	455335.9572
121	455297.7032
122	455270.2786
123	455148.4128
124	455034.9591
125	454921.0076
126	454896.0048
127	454819.0209
128	454736.4963
129	454650.1805
130	454532.121
131	454441.8177
132	454395.2487
133	454338.3896
134	454232.3818
135	454207.7857
136	454031.8706
137	453910.7069
138	453849.1529
139	453691.3448
140	453600.9917
141	453512.0011
142	453458.0616
143	453372.5741
144	453313.0708
145	453254.8004
146	453167.2214
147	453053.7098
148	452970.8922
149	452879.624
150	452788.0549
151	452663.3163
152	452633.9542
153	452558.879
154	452472.307
155	452421.8896
156	452395.2114
157	452327.241
158	452294.078
159	452237.044
160	452123.9538
161	452079.6134
162	452021.1451
163	451887.1751
