iter	Passed	Remaining
0	53	53432
1	59	29511
2	64	21358
3	70	17455
4	75	15070
5	81	13457
6	86	12265
7	90	11186
8	94	10383
9	97	9664
10	100	9033
11	102	8473
12	105	7987
13	107	7567
14	109	7212
15	112	6923
16	114	6640
17	117	6389
18	119	6157
19	121	5950
20	123	5770
21	126	5619
22	128	5465
23	131	5334
24	133	5202
25	135	5074
26	137	4961
27	139	4858
28	142	4770
29	144	4683
30	146	4593
31	149	4509
32	151	4429
33	153	4352
34	155	4281
35	157	4216
36	159	4156
37	161	4096
38	163	4039
39	165	3982
40	167	3928
41	169	3876
42	171	3827
43	174	3785
44	176	3738
45	178	3693
46	180	3653
47	182	3616
48	185	3591
49	187	3566
50	189	3531
51	192	3501
52	194	3473
53	196	3444
54	198	3416
55	200	3385
56	202	3352
57	205	3333
58	207	3316
59	209	3289
60	212	3266
61	214	3239
62	216	3214
63	218	3189
64	220	3172
65	223	3159
66	225	3138
67	227	3117
68	229	3094
69	231	3075
70	233	3055
71	235	3034
72	237	3017
73	239	3000
74	242	2986
75	244	2969
76	246	2960
77	249	2947
78	252	2937
79	254	2928
80	256	2912
81	258	2898
82	260	2882
83	262	2867
84	264	2852
85	267	2839
86	269	2831
87	272	2819
88	274	2807
89	276	2794
90	278	2779
91	280	2765
92	282	2750
93	284	2737
94	286	2732
95	289	2723
96	291	2709
97	293	2697
98	294	2683
99	296	2671
100	299	2665
101	302	2664
102	304	2655
103	306	2644
104	309	2634
105	311	2623
106	313	2613
107	315	2606
108	318	2600
109	320	2590
110	322	2579
111	324	2569
112	326	2562
113	328	2554
114	331	2547
115	333	2545
116	336	2536
117	338	2528
118	340	2520
119	342	2510
120	344	2504
121	346	2496
122	349	2490
123	351	2483
124	353	2476
125	355	2467
126	357	2457
127	359	2450
128	362	2446
129	365	2443
130	367	2437
131	369	2428
132	371	2420
133	373	2411
134	375	2405
135	378	2403
136	381	2403
137	383	2397
138	385	2390
139	387	2383
140	390	2376
141	392	2369
142	395	2368
143	397	2365
144	400	2359
145	402	2353
146	404	2347
147	406	2340
148	409	2336
149	411	2332
150	414	2327
151	416	2321
152	417	2313
153	419	2307
154	422	2301
155	424	2296
156	426	2291
157	429	2287
158	431	2280
159	433	2273
160	435	2268
161	437	2261
162	440	2260
163	442	2257
164	445	2253
165	447	2247
166	449	2240
167	451	2234
168	453	2227
169	455	2223
170	457	2218
171	460	2216
172	462	2210
173	464	2204
174	466	2197
175	468	2191
176	470	2185
177	472	2182
178	475	2180
179	477	2174
180	479	2169
181	481	2163
182	483	2158
183	485	2152
184	487	2149
185	490	2145
186	492	2141
187	494	2136
188	496	2131
189	498	2125
190	500	2119
191	502	2115
192	505	2113
193	507	2110
194	509	2104
195	512	2100
196	514	2096
197	516	2090
198	518	2085
199	520	2082
200	523	2080
201	525	2076
202	527	2071
203	529	2066
204	531	2061
205	533	2057
206	536	2054
207	539	2052
208	541	2048
209	543	2043
210	545	2037
211	547	2033
212	548	2028
213	551	2024
214	553	2022
215	556	2018
216	558	2014
217	560	2010
218	562	2006
219	564	2002
220	568	2003
221	571	2002
222	573	1998
223	575	1994
224	577	1990
225	579	1985
226	581	1980
227	584	1978
228	586	1974
229	588	1971
230	590	1966
231	592	1961
232	594	1956
233	596	1952
234	598	1948
235	601	1946
236	603	1942
237	605	1938
238	607	1934
239	609	1930
240	611	1926
241	613	1922
242	615	1918
243	618	1916
244	620	1911
245	622	1907
246	624	1902
247	626	1898
248	628	1894
249	630	1890
250	632	1886
251	635	1885
252	637	1881
253	639	1876
254	641	1873
255	643	1870
256	645	1866
257	648	1863
258	650	1860
259	652	1856
260	654	1852
261	656	1848
262	658	1845
263	660	1841
264	662	1837
265	664	1834
266	666	1831
267	668	1826
268	670	1823
269	672	1819
270	675	1816
271	677	1812
272	679	1808
273	681	1804
274	683	1801
275	685	1798
276	687	1794
277	689	1790
278	691	1786
279	692	1781
280	695	1778
281	697	1774
282	699	1771
283	701	1767
284	703	1764
285	705	1760
286	707	1757
287	709	1754
288	711	1750
289	713	1747
290	715	1743
291	717	1739
292	719	1736
293	721	1732
294	723	1729
295	725	1725
296	727	1721
297	729	1718
298	731	1714
299	733	1710
300	735	1707
301	737	1703
302	739	1700
303	741	1697
304	743	1693
305	745	1690
306	747	1687
307	749	1684
308	751	1680
309	753	1677
310	755	1674
311	757	1670
312	759	1666
313	761	1663
314	763	1660
315	765	1657
316	767	1654
317	769	1651
318	771	1647
319	773	1644
320	776	1641
321	778	1638
322	779	1634
323	781	1631
324	783	1628
325	786	1625
326	787	1621
327	790	1619
328	792	1616
329	794	1613
330	796	1610
331	798	1607
332	800	1603
333	802	1600
334	804	1597
335	806	1593
336	808	1590
337	811	1588
338	813	1585
339	815	1582
340	817	1579
341	819	1576
342	821	1573
343	823	1569
344	825	1567
345	827	1564
346	829	1561
347	831	1558
348	834	1555
349	836	1553
350	839	1551
351	841	1548
352	842	1545
353	844	1541
354	846	1538
355	848	1534
356	850	1531
357	852	1528
358	854	1525
359	856	1522
360	858	1519
361	860	1516
362	863	1515
363	866	1514
364	869	1511
365	873	1512
366	875	1509
367	877	1507
368	881	1507
369	883	1504
370	887	1505
371	890	1503
372	892	1500
373	894	1496
374	896	1493
375	898	1490
376	900	1487
377	902	1485
378	904	1481
379	906	1478
380	908	1475
381	910	1472
382	912	1469
383	914	1466
384	916	1463
385	918	1460
386	920	1458
387	923	1456
388	925	1453
389	927	1450
390	929	1447
391	931	1444
392	933	1441
393	935	1438
394	936	1435
395	938	1432
396	940	1428
397	942	1425
398	944	1422
399	946	1419
400	948	1416
401	950	1413
402	952	1410
403	954	1407
404	956	1404
405	957	1401
406	960	1399
407	962	1396
408	964	1394
409	967	1391
410	969	1389
411	971	1386
412	973	1384
413	975	1381
414	977	1378
415	980	1376
416	982	1373
417	984	1370
418	986	1367
419	988	1365
420	991	1363
421	993	1360
422	997	1360
423	1000	1358
424	1002	1356
425	1004	1353
426	1006	1350
427	1008	1347
428	1010	1344
429	1012	1342
430	1014	1339
431	1016	1336
432	1018	1333
433	1020	1331
434	1023	1329
435	1025	1326
436	1027	1324
437	1030	1321
438	1032	1319
439	1034	1316
440	1036	1313
441	1038	1311
442	1040	1308
443	1042	1305
444	1044	1302
445	1046	1300
446	1048	1297
447	1051	1295
448	1053	1292
449	1055	1289
450	1057	1286
451	1059	1283
452	1061	1281
453	1063	1278
454	1065	1275
455	1067	1273
456	1069	1270
457	1071	1267
458	1073	1265
459	1075	1262
460	1077	1259
461	1079	1257
462	1081	1254
463	1083	1251
464	1085	1249
465	1087	1246
466	1089	1243
467	1091	1241
468	1094	1238
469	1096	1236
470	1098	1233
471	1100	1230
472	1102	1227
473	1104	1225
474	1106	1222
475	1108	1220
476	1110	1217
477	1112	1214
478	1114	1212
479	1116	1209
480	1118	1206
481	1120	1204
482	1122	1201
483	1124	1198
484	1126	1195
485	1128	1193
486	1130	1190
487	1132	1187
488	1134	1185
489	1136	1182
490	1138	1179
491	1140	1177
